PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM2] Ep 011 | Ω:0.610 A:0.693 A@.55:0.642 Score:0.3034 | LR:0.000250 | ni:6/25
  [EM2] Ep 012 | Ω:0.612 A:0.691 A@.55:0.640 Score:0.3033 | LR:0.000250 | ni:7/25
  [EM2] Ep 013 | Ω:0.614 A:0.690 A@.55:0.639 Score:0.3038 | LR:0.000250 | ni:8/25
  [EM2] Ep 014 | Ω:0.614 A:0.689 A@.55:0.639 Score:0.3033 | LR:0.000250 | ni:9/25
  [EM2] Ep 015 | Ω:0.617 A:0.688 A@.55:0.636 Score:0.3043 | LR:0.000250 | ni:10/25
  [EM2] Ep 016 | Ω:0.617 A:0.686 A@.55:0.635 Score:0.3028 | LR:0.000250 | ni:0/25
  [EM2] Ep 017 | Ω:0.617 A:0.686 A@.55:0.636 Score:0.3025 | LR:0.000250 | ni:1/25
  [EM2] Ep 018 | Ω:0.616 A:0.688 A@.55:0.636 Score:0.3044 | LR:0.000250 | ni:2/25
  [EM2] Ep 019 | Ω:0.616 A:0.687 A@.55:0.636 Score:0.3034 | LR:0.000250 | ni:0/25
  [EM2] Ep 020 | Ω:0.615 A:0.690 A@.55:0.637 Score:0.3048 | LR:0.000250 | ni:1/25
  [EM2] Ep 021 | Ω:0.615 A:0.689 A@.55:0.638 Score:0.3035 | LR:0.000250 | ni:0/25
  [EM2] Ep 022 | Ω:0.616 A:0.689 A@.55:0.637 Score:0.3051 | LR:0.000250 | ni:1/25
  [EM2] Ep 023 | Ω:0.615 A:0.690 A@.55:0.636 Score:0.3050 | LR:0.000250 | ni:0/25
  [EM2] Ep 024 | Ω:0.614 A:0.688 A@.55:0.637 Score:0.3016 | LR:0.000250 | ni:1/25
  [EM2] Ep 025 | Ω:0.614 A:0.689 A@.55:0.638 Score:0.3034 | LR:0.000250 | ni:2/25
  [EM2] Ep 026 | Ω:0.615 A:0.687 A@.55:0.638 Score:0.3021 | LR:0.000250 | ni:3/25
  [EM2] Ep 027 | Ω:0.614 A:0.688 A@.55:0.638 Score:0.3018 | LR:0.000250 | ni:4/25
  [EM2] Ep 028 | Ω:0.614 A:0.689 A@.55:0.637 Score:0.3033 | LR:0.000125 | ni:5/25
  [EM2] Ep 029 | Ω:0.614 A:0.689 A@.55:0.638 Score:0.3028 | LR:0.000125 | ni:6/25
  [EM2] Ep 030 | Ω:0.613 A:0.688 A@.55:0.638 Score:0.3015 | LR:0.000125 | ni:7/25
  [EM2] Ep 031 | Ω:0.614 A:0.688 A@.55:0.638 Score:0.3022 | LR:0.000125 | ni:8/25
  [EM2] Ep 032 | Ω:0.616 A:0.688 A@.55:0.637 Score:0.3039 | LR:0.000125 | ni:9/25
  [EM2] Ep 033 | Ω:0.615 A:0.687 A@.55:0.636 Score:0.3027 | LR:0.000125 | ni:10/25
  [EM2] Ep 034 | Ω:0.615 A:0.687 A@.55:0.636 Score:0.3019 | LR:0.000063 | ni:11/25
  [EM2] Ep 035 | Ω:0.613 A:0.689 A@.55:0.639 Score:0.3025 | LR:0.000063 | ni:12/25
