GRL Run 13 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
Moment adversary: 6 targets (n_kaons + std of 5 features)
OmegaTransformerGRL: 283,791 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 062 | α=0.854 λ=2.0000 | cls=0.9569 adv_ce=1.5964/1.6094 adv_mse=0.9988 | O@A=0.90: 0.619 (t=0.28, A=0.900) | Argmax: O=0.896 A=0.532 Score=0.4282 | LR: 0.000031 | [CONSTRAINED] No-improve: 5/25
Epoch 063 | α=0.861 λ=2.0000 | cls=0.9583 adv_ce=1.5888/1.6094 adv_mse=1.0000 | O@A=0.90: 0.625 (t=0.19, A=0.900) | Argmax: O=0.896 A=0.574 Score=0.4707 | LR: 0.000031 | [CONSTRAINED] No-improve: 6/25
Epoch 064 | α=0.868 λ=2.0000 | cls=0.9546 adv_ce=1.5869/1.6094 adv_mse=0.9904 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.686 Score=0.5297 | LR: 0.000031 | [CONSTRAINED] No-improve: 7/25
Epoch 065 | α=0.874 λ=2.0000 | cls=0.9537 adv_ce=1.6021/1.6094 adv_mse=0.9905 | O@A=0.90: 0.620 (t=0.32, A=0.900) | Argmax: O=0.786 A=0.768 Score=0.5540 | LR: 0.000031 | [CONSTRAINED] No-improve: 0/25
Epoch 066 | α=0.881 λ=2.0000 | cls=0.9550 adv_ce=1.5813/1.6094 adv_mse=0.9958 | O@A=0.90: 0.624 (t=0.23, A=0.900) | Argmax: O=0.839 A=0.704 Score=0.5427 | LR: 0.000031 | [CONSTRAINED] No-improve: 1/25
Epoch 067 | α=0.887 λ=2.0000 | cls=0.9625 adv_ce=1.5888/1.6094 adv_mse=1.0104 | O@A=0.90: 0.616 (t=0.17, A=0.900) | Argmax: O=0.863 A=0.662 Score=0.5245 | LR: 0.000031 | [CONSTRAINED] No-improve: 2/25
Epoch 068 | α=0.892 λ=2.0000 | cls=0.9563 adv_ce=1.5947/1.6094 adv_mse=1.0005 | O@A=0.90: 0.619 (t=0.09, A=0.900) | Argmax: O=0.918 A=0.534 Score=0.4527 | LR: 0.000031 | [CONSTRAINED] No-improve: 3/25
Epoch 069 | α=0.898 λ=2.0000 | cls=0.9531 adv_ce=1.5909/1.6094 adv_mse=0.9854 | O@A=0.90: 0.624 (t=0.21, A=0.900) | Argmax: O=0.856 A=0.669 Score=0.5251 | LR: 0.000031 | [CONSTRAINED] No-improve: 4/25
Epoch 070 | α=0.903 λ=2.0000 | cls=0.9598 adv_ce=1.6109/1.6094 adv_mse=1.0182 | O@A=0.90: 0.594 (t=0.39, A=0.900) | Argmax: O=0.739 A=0.776 Score=0.5145 | LR: 0.000016 | [CONSTRAINED] No-improve: 5/25
Epoch 071 | α=0.908 λ=2.0000 | cls=0.9510 adv_ce=1.5877/1.6094 adv_mse=0.9945 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.839 A=0.699 Score=0.5381 | LR: 0.000016 | [CONSTRAINED] No-improve: 6/25
