GRL Run 8 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 279,047 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

── Baseline multiplicity debiasing check (random init) ──
Multiplicity debiasing probe: acc=0.3235 (chance=0.2000) → NOT debiased

Starting GRL training...

Epoch 067 | α=0.887 λ=2.0000 | cls=0.9379 adv=1.6020/1.6094 | O@A=0.90: 0.625 (t=0.21, A=0.900) | Argmax: O=0.835 A=0.706 Score=0.5409 | LR: 0.000002 | [CONSTRAINED] No-improve: 2/25
Epoch 068 | α=0.892 λ=2.0000 | cls=0.9386 adv=1.6065/1.6094 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.834 A=0.707 Score=0.5412 | LR: 0.000002 | [CONSTRAINED] No-improve: 3/25
Epoch 069 | α=0.898 λ=2.0000 | cls=0.9392 adv=1.6084/1.6094 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.834 A=0.709 Score=0.5431 | LR: 0.000002 | [CONSTRAINED] No-improve: 4/25
Epoch 070 | α=0.903 λ=2.0000 | cls=0.9421 adv=1.6074/1.6094 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.833 A=0.711 Score=0.5444 | LR: 0.000001 | [CONSTRAINED] No-improve: 5/25
Epoch 071 | α=0.908 λ=2.0000 | cls=0.9381 adv=1.6053/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.833 A=0.711 Score=0.5441 | LR: 0.000001 | [CONSTRAINED] No-improve: 6/25
Epoch 072 | α=0.912 λ=2.0000 | cls=0.9384 adv=1.6034/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.711 Score=0.5437 | LR: 0.000001 | [CONSTRAINED] No-improve: 7/25
Epoch 073 | α=0.917 λ=2.0000 | cls=0.9393 adv=1.6015/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.711 Score=0.5436 | LR: 0.000001 | [CONSTRAINED] No-improve: 8/25
Epoch 074 | α=0.921 λ=2.0000 | cls=0.9382 adv=1.5990/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.833 A=0.711 Score=0.5442 | LR: 0.000001 | [CONSTRAINED] No-improve: 9/25
Epoch 075 | α=0.925 λ=2.0000 | cls=0.9385 adv=1.5966/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.833 A=0.712 Score=0.5448 | LR: 0.000001 | [CONSTRAINED] No-improve: 10/25
Epoch 076 | α=0.929 λ=2.0000 | cls=0.9372 adv=1.5942/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.713 Score=0.5442 | LR: 0.000000 | [CONSTRAINED] No-improve: 11/25
Epoch 077 | α=0.932 λ=2.0000 | cls=0.9377 adv=1.5923/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.833 A=0.712 Score=0.5443 | LR: 0.000000 | [CONSTRAINED] No-improve: 12/25
Epoch 078 | α=0.936 λ=2.0000 | cls=0.9368 adv=1.5914/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.712 Score=0.5444 | LR: 0.000000 | [CONSTRAINED] No-improve: 13/25
Epoch 079 | α=0.939 λ=2.0000 | cls=0.9335 adv=1.5903/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.713 Score=0.5447 | LR: 0.000000 | [CONSTRAINED] No-improve: 14/25
Epoch 080 | α=0.942 λ=2.0000 | cls=0.9369 adv=1.5894/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.713 Score=0.5448 | LR: 0.000000 | [CONSTRAINED] No-improve: 15/25
Epoch 081 | α=0.945 λ=2.0000 | cls=0.9361 adv=1.5886/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.713 Score=0.5448 | LR: 0.000000 | [CONSTRAINED] No-improve: 16/25
Epoch 082 | α=0.948 λ=2.0000 | cls=0.9344 adv=1.5879/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.713 Score=0.5448 | LR: 0.000000 | [CONSTRAINED] No-improve: 17/25
Epoch 083 | α=0.951 λ=2.0000 | cls=0.9331 adv=1.5874/1.6094 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.714 Score=0.5455 | LR: 0.000000 | [CONSTRAINED] No-improve: 18/25
Epoch 084 | α=0.953 λ=2.0000 | cls=0.9340 adv=1.5871/1.6094 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.831 A=0.714 Score=0.5454 | LR: 0.000000 | [CONSTRAINED] No-improve: 19/25
Epoch 085 | α=0.956 λ=2.0000 | cls=0.9338 adv=1.5870/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.832 A=0.714 Score=0.5452 | LR: 0.000000 | [CONSTRAINED] No-improve: 0/25
Epoch 086 | α=0.958 λ=2.0000 | cls=0.9326 adv=1.5871/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.831 A=0.715 Score=0.5456 | LR: 0.000000 | [CONSTRAINED] No-improve: 1/25
Epoch 087 | α=0.960 λ=2.0000 | cls=0.9342 adv=1.5872/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.831 A=0.716 Score=0.5466 | LR: 0.000000 | [CONSTRAINED] No-improve: 2/25
Epoch 088 | α=0.962 λ=2.0000 | cls=0.9338 adv=1.5875/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.830 A=0.716 Score=0.5464 | LR: 0.000000 | [CONSTRAINED] No-improve: 3/25
Epoch 089 | α=0.964 λ=2.0000 | cls=0.9349 adv=1.5878/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.830 A=0.716 Score=0.5464 | LR: 0.000000 | [CONSTRAINED] No-improve: 4/25
Epoch 090 | α=0.966 λ=2.0000 | cls=0.9365 adv=1.5879/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.830 A=0.717 Score=0.5465 | LR: 0.000000 | [CONSTRAINED] No-improve: 5/25
Epoch 091 | α=0.968 λ=2.0000 | cls=0.9358 adv=1.5881/1.6094 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.830 A=0.717 Score=0.5464 | LR: 0.000000 | [CONSTRAINED] No-improve: 6/25
