GRL Run 2 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
ADV_LAMBDA=0.1 | GRL_ALPHA_MAX=1.0 | warmup=30 epochs
OmegaTransformerGRL: 279,427 parameters
Starting GRL training...

Epoch 073 | α=1.000 | cls=1.2281 adv=0.0740 | Omega Rec: 0.680 | Anti Rec: 0.628 | A@0.55: 0.532 | Score: 0.3073 | LR: 0.000016 | No-improve: 21/25
Epoch 074 | α=1.000 | cls=1.2274 adv=0.0741 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3063 | LR: 0.000016 | No-improve: 22/25
Epoch 075 | α=1.000 | cls=1.2276 adv=0.0740 | Omega Rec: 0.681 | Anti Rec: 0.627 | A@0.55: 0.531 | Score: 0.3078 | LR: 0.000016 | No-improve: 23/25
Epoch 076 | α=1.000 | cls=1.2276 adv=0.0740 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.534 | Score: 0.3059 | LR: 0.000016 | No-improve: 0/25
Epoch 077 | α=1.000 | cls=1.2279 adv=0.0739 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3066 | LR: 0.000016 | No-improve: 1/25
Epoch 078 | α=1.000 | cls=1.2286 adv=0.0740 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.534 | Score: 0.3067 | LR: 0.000016 | No-improve: 2/25
Epoch 079 | α=1.000 | cls=1.2286 adv=0.0742 | Omega Rec: 0.680 | Anti Rec: 0.628 | A@0.55: 0.534 | Score: 0.3075 | LR: 0.000016 | No-improve: 3/25
Epoch 080 | α=1.000 | cls=1.2276 adv=0.0739 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3070 | LR: 0.000016 | No-improve: 4/25
Epoch 081 | α=1.000 | cls=1.2278 adv=0.0741 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3065 | LR: 0.000008 | No-improve: 5/25
Epoch 082 | α=1.000 | cls=1.2259 adv=0.0740 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3069 | LR: 0.000008 | No-improve: 6/25
